width,p,seed,lambda_max,n_pos,lyap_dim
64,0.5,0,-0.37897324715461866,0,0.0
64,0.5,1,-0.6112779596379855,0,0.0
64,0.5,2,0.04792784890061177,64,64.0
64,0.5,3,-0.056337942777522125,0,0.0
64,0.5,4,-0.20676466735437285,0,0.0
64,0.5,5,-0.23428003181556492,0,0.0
64,0.5,6,0.08629114895677314,64,64.0
64,0.5,7,-0.7867583745242989,0,0.0
64,0.5,8,0.04225423269936675,63,64.0
64,0.5,9,-1.088945159882227,0,0.0
64,0.5,10,-0.07080765173310809,0,0.0
64,0.5,11,0.012654146578397847,64,64.0
64,0.5,12,-0.5809308400838972,0,0.0
64,0.5,13,-0.7218342818024498,0,0.0
64,0.5,14,-0.06245866334039546,0,0.0
64,0.5,15,-0.06157346358818612,0,0.0
64,0.5,16,-0.218257411166023,0,0.0
64,0.5,17,-0.4559418687237775,0,0.0
64,0.5,18,-0.6423592384374988,0,0.0
64,0.5,19,-0.2131446035743552,0,0.0
64,0.603448275862069,0,-0.26503078477648356,0,0.0
64,0.603448275862069,1,-0.7217544541043539,0,0.0
64,0.603448275862069,2,0.1310930988155136,64,64.0
64,0.603448275862069,3,-0.03182087239822584,0,0.0
64,0.603448275862069,4,-0.07744662216476428,0,0.0
64,0.603448275862069,5,-0.22711654616332808,0,0.0
64,0.603448275862069,6,-0.0533365967842423,0,0.0
64,0.603448275862069,7,-1.5054677749300174,0,0.0
64,0.603448275862069,8,0.015408265199824118,63,64.0
64,0.603448275862069,9,-1.0128386618767917,0,0.0
64,0.603448275862069,10,0.08527397139921203,64,64.0
64,0.603448275862069,11,0.014760938546692937,64,64.0
64,0.603448275862069,12,-0.43853418727266813,0,0.0
64,0.603448275862069,13,-0.7639778389741159,0,0.0
64,0.603448275862069,14,-0.041428050417481696,0,0.0
64,0.603448275862069,15,-0.05472270373260078,0,0.0
64,0.603448275862069,16,-0.1147692197304576,0,0.0
64,0.603448275862069,17,-0.41812772991001795,0,0.0
64,0.603448275862069,18,-0.9469097705707215,0,0.0
64,0.603448275862069,19,-0.14180072999296894,0,0.0
64,0.7068965517241379,0,-0.1834460268587723,0,0.0
64,0.7068965517241379,1,-0.7684954129555779,0,0.0
64,0.7068965517241379,2,0.0868921351439851,64,64.0
64,0.7068965517241379,3,0.00938516538649698,1,"tensor(0.1991, dtype=torch.float64)"
64,0.7068965517241379,4,-0.011832467172185184,0,0.0
64,0.7068965517241379,5,-0.2825566498153203,0,0.0
64,0.7068965517241379,6,0.02332718183229537,64,64.0
64,0.7068965517241379,7,-2.0747659930655082,0,0.0
64,0.7068965517241379,8,-0.01975047357202139,0,0.0
64,0.7068965517241379,9,-0.8893523534003596,0,0.0
64,0.7068965517241379,10,0.04453418957069149,64,64.0
64,0.7068965517241379,11,0.037014173088223384,64,64.0
64,0.7068965517241379,12,-0.40780511121894886,0,0.0
64,0.7068965517241379,13,-0.8042161568750587,0,0.0
64,0.7068965517241379,14,-0.029283019376389816,0,0.0
64,0.7068965517241379,15,-0.08107152055655943,0,0.0
64,0.7068965517241379,16,-0.010521336905158473,0,0.0
64,0.7068965517241379,17,-0.36487077424319575,0,0.0
64,0.7068965517241379,18,-1.2379037310850187,0,0.0
64,0.7068965517241379,19,-0.08642903853011193,0,0.0
64,0.8103448275862069,0,-0.1629391571458936,0,0.0
64,0.8103448275862069,1,-0.7822411221653617,0,0.0
64,0.8103448275862069,2,0.029363650480887418,64,64.0
64,0.8103448275862069,3,-0.02895608982410347,0,0.0
64,0.8103448275862069,4,0.005554138794120411,64,64.0
64,0.8103448275862069,5,-0.21211069661136098,0,0.0
64,0.8103448275862069,6,-0.0733885549327292,0,0.0
64,0.8103448275862069,7,0.02639869905625442,64,64.0
64,0.8103448275862069,8,0.0026203332896295966,62,64.0
64,0.8103448275862069,9,-1.0031839886809508,0,0.0
64,0.8103448275862069,10,0.04494718675596232,64,64.0
64,0.8103448275862069,11,0.005002410963925166,64,64.0
64,0.8103448275862069,12,-0.513109319654439,0,0.0
64,0.8103448275862069,13,-0.961920524678153,0,0.0
64,0.8103448275862069,14,-0.021829681837133814,0,0.0
64,0.8103448275862069,15,-0.10506001200120606,0,0.0
64,0.8103448275862069,16,-0.008255158959657755,0,0.0
64,0.8103448275862069,17,-0.3852583331490333,0,0.0
64,0.8103448275862069,18,-1.1720582856503443,0,0.0
64,0.8103448275862069,19,-0.05463553324120993,0,0.0
64,0.9137931034482758,0,-0.2658370672338356,0,0.0
64,0.9137931034482758,1,-0.8464453320895282,0,0.0
64,0.9137931034482758,2,-0.01503249462660946,0,0.0
64,0.9137931034482758,3,-0.0193691650460277,0,0.0
64,0.9137931034482758,4,-0.04177938357810257,0,0.0
64,0.9137931034482758,5,-0.21129772819662374,0,0.0
64,0.9137931034482758,6,0.005459096473726014,64,64.0
64,0.9137931034482758,7,0.005029905038243119,64,64.0
64,0.9137931034482758,8,0.010613928909650619,63,64.0
64,0.9137931034482758,9,-1.1650686796101917,0,0.0
64,0.9137931034482758,10,-0.08869177908156539,0,0.0
64,0.9137931034482758,11,-0.08948507925027883,0,0.0
64,0.9137931034482758,12,-0.5086316527424176,0,0.0
64,0.9137931034482758,13,-1.0188059361000306,0,0.0
64,0.9137931034482758,14,-0.016875164154112485,0,0.0
64,0.9137931034482758,15,-0.11470337352209463,0,0.0
64,0.9137931034482758,16,0.03130379534264824,64,64.0
64,0.9137931034482758,17,-0.2270911474884758,0,0.0
64,0.9137931034482758,18,-1.3923772151660418,0,0.0
64,0.9137931034482758,19,-0.022383254199799547,0,0.0
64,1.0172413793103448,0,-0.35137525018859855,0,0.0
64,1.0172413793103448,1,-0.9533632632160988,0,0.0
64,1.0172413793103448,2,0.09895903022476409,64,64.0
64,1.0172413793103448,3,0.0062504727768075054,1,"tensor(0.2759, dtype=torch.float64)"
64,1.0172413793103448,4,0.03472685366932883,64,64.0
64,1.0172413793103448,5,-0.12852677595095535,0,0.0
64,1.0172413793103448,6,0.004723987810282967,64,64.0
64,1.0172413793103448,7,0.00199365973140984,64,64.0
64,1.0172413793103448,8,-0.018806474383381913,0,0.0
64,1.0172413793103448,9,-1.2341013127078377,0,0.0
64,1.0172413793103448,10,-0.07303528333852112,0,0.0
64,1.0172413793103448,11,0.002395482251202821,64,64.0
64,1.0172413793103448,12,-0.4650287794288713,0,0.0
64,1.0172413793103448,13,-1.0578269766055737,0,0.0
64,1.0172413793103448,14,-0.013501975389749789,0,0.0
64,1.0172413793103448,15,-0.11842663952629207,0,0.0
64,1.0172413793103448,16,0.0035408389589159893,64,64.0
64,1.0172413793103448,17,-0.13260688658663694,0,0.0
64,1.0172413793103448,18,-1.5419860110723478,0,0.0
64,1.0172413793103448,19,-0.038074388498354234,0,0.0
64,1.1206896551724137,0,-0.3770104227186383,0,0.0
64,1.1206896551724137,1,-0.9973180064604935,0,0.0
64,1.1206896551724137,2,0.013849039869704862,64,64.0
64,1.1206896551724137,3,-0.029501044111528568,0,0.0
64,1.1206896551724137,4,0.004003816263280324,64,64.0
64,1.1206896551724137,5,-0.1394709053217952,0,0.0
64,1.1206896551724137,6,0.003347637977787309,64,64.0
64,1.1206896551724137,7,0.001032787946618216,64,64.0
64,1.1206896551724137,8,0.004161609996875082,63,64.0
64,1.1206896551724137,9,-1.3386360963011148,0,0.0
64,1.1206896551724137,10,0.013857309384183867,64,64.0
64,1.1206896551724137,11,0.0005735772142233084,64,64.0
64,1.1206896551724137,12,-0.648438698552135,0,0.0
64,1.1206896551724137,13,-1.081355932978683,0,0.0
64,1.1206896551724137,14,-0.011091902140160533,0,0.0
64,1.1206896551724137,15,-0.11892198588412307,0,0.0
64,1.1206896551724137,16,0.011444649322332499,64,64.0
64,1.1206896551724137,17,-0.12700379352595642,0,0.0
64,1.1206896551724137,18,-1.6964695031855619,0,0.0
64,1.1206896551724137,19,-0.0010639748600261435,0,0.0
64,1.2241379310344827,0,-0.39016592086124396,0,0.0
64,1.2241379310344827,1,-1.0882153943602948,0,0.0
64,1.2241379310344827,2,0.01618866726506855,64,64.0
64,1.2241379310344827,3,-0.04793081297690493,0,0.0
64,1.2241379310344827,4,0.0011695736004896646,64,64.0
64,1.2241379310344827,5,-0.16380799776182753,0,0.0
64,1.2241379310344827,6,0.000701995520426314,64,64.0
64,1.2241379310344827,7,0.0005913224709477605,64,64.0
64,1.2241379310344827,8,-0.03583967416578497,0,0.0
64,1.2241379310344827,9,-1.4731542461694402,0,0.0
64,1.2241379310344827,10,0.010093403270321044,64,64.0
64,1.2241379310344827,11,0.00020669112630086365,64,64.0
64,1.2241379310344827,12,-0.5793435341193263,0,0.0
64,1.2241379310344827,13,-1.0950565926063986,0,0.0
64,1.2241379310344827,14,-0.009375932310956226,0,0.0
64,1.2241379310344827,15,-0.08508921388902722,0,0.0
64,1.2241379310344827,16,0.04457513087012676,64,64.0
64,1.2241379310344827,17,-0.17635886489433628,0,0.0
64,1.2241379310344827,18,-2.0862548918418424,0,0.0
64,1.2241379310344827,19,0.0038481962209702724,64,64.0
64,1.3275862068965516,0,-0.3936827829950403,0,0.0
64,1.3275862068965516,1,-1.1422539119012678,0,0.0
64,1.3275862068965516,2,-0.09077738325759242,0,0.0
64,1.3275862068965516,3,-0.06341931302449608,0,0.0
64,1.3275862068965516,4,0.0008225670630989895,64,64.0
64,1.3275862068965516,5,-0.17620711766381988,0,0.0
64,1.3275862068965516,6,0.003528014776114361,64,64.0
64,1.3275862068965516,7,0.00035044986959544916,64,64.0
64,1.3275862068965516,8,-0.0869192170678262,0,0.0
64,1.3275862068965516,9,-1.4665977202522689,0,0.0
64,1.3275862068965516,10,0.007282049710713886,64,64.0
64,1.3275862068965516,11,8.398705611127285e-05,64,64.0
