run_id,date,arch,group_order,p,seed,lambda_max,lambda_min,num_pos,ky_dim
dd2e24ab,2025-05-18T02:49:32,G-GRU,S3,0.4,0,-0.24917137115470003,-1.7680155142859029,0,0.0
efb9cb27,2025-05-18T02:50:36,G-GRU,S4,0.4,0,-0.24917137115470003,-1.7680155142859029,0,0.0
cc9c19d0,2025-05-18T02:51:40,G-GRU,S5,0.4,0,-0.24917137115470003,-1.7680155142859029,0,0.0
44522542,2025-05-18T02:52:44,G-GRU,S3,1.0,0,-0.12855786862538848,-3.4003932375873775,0,0.0
84944839,2025-05-18T02:53:47,G-GRU,S4,1.0,0,-0.12855786862538848,-3.4003932375873775,0,0.0
818eb14a,2025-05-18T02:54:51,G-GRU,S5,1.0,0,-0.12855786862538848,-3.4003932375873775,0,0.0
f3b3b3d5,2025-05-18T02:55:55,G-GRU,S3,2.0,0,-0.09605755857146127,-6.002701301527575,0,0.0
fa09b001,2025-05-18T02:56:59,G-GRU,S4,2.0,0,-0.09605755857146127,-6.002701301527575,0,0.0
76b59849,2025-05-18T02:58:03,G-GRU,S5,2.0,0,-0.09605755857146127,-6.002701301527575,0,0.0
080750f7,2025-05-18T02:59:07,G-GRU,S3,3.0,0,-0.08088833195044157,-9.022459003642547,0,0.0
7befb4c1,2025-05-18T03:00:11,G-GRU,S4,3.0,0,-0.08088833195044157,-9.022459003642547,0,0.0
d34de377,2025-05-18T03:01:15,G-GRU,S5,3.0,0,-0.08088833195044157,-9.022459003642547,0,0.0
5b81f321,2025-05-18T03:02:19,G-GRU,S3,5.0,0,-0.06268482859358829,-15.115422989998448,0,0.0
0ddb6a05,2025-05-18T03:03:22,G-GRU,S4,5.0,0,-0.06268482859358829,-15.115422989998448,0,0.0
320de1b3,2025-05-18T03:04:26,G-GRU,S5,5.0,0,-0.06268482859358829,-15.115422989998448,0,0.0
65f6dbaa,2025-05-18T03:05:30,G-GRU,S3,10.0,0,-0.0487551132704648,-26.040509631794244,0,0.0
b51adfff,2025-05-18T03:06:34,G-GRU,S4,10.0,0,-0.0487551132704648,-26.040509631794244,0,0.0
97404e50,2025-05-18T03:07:38,G-GRU,S5,10.0,0,-0.0487551132704648,-26.040509631794244,0,0.0
4dbc357d,2025-05-18T03:08:41,G-GRU,S3,20.0,0,-0.06095077307875096,-26.77394785779778,0,0.0
10e543cb,2025-05-18T03:09:45,G-GRU,S4,20.0,0,-0.06095077307875096,-26.77394785779778,0,0.0
7e40349b,2025-05-18T03:10:49,G-GRU,S5,20.0,0,-0.06095077307875096,-26.77394785779778,0,0.0
18f4fd65,2025-05-18T03:11:53,G-GRU,S3,30.0,0,-0.06679652324915904,-26.05631709329925,0,0.0
79c1fec3,2025-05-18T03:12:56,G-GRU,S4,30.0,0,-0.06679652324915904,-26.05631709329925,0,0.0
c2508722,2025-05-18T03:14:00,G-GRU,S5,30.0,0,-0.06679652324915904,-26.05631709329925,0,0.0
abe47ab2,2025-05-18T03:40:57,GRU,,2.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
9e69786b,2025-05-18T03:41:19,GRU,,4.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
965b410a,2025-05-18T03:41:42,GRU,,6.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
33f22878,2025-05-18T03:42:04,GRU,,8.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
b9de5e7d,2025-05-18T03:42:26,GRU,,10.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
424c3c7a,2025-05-18T03:42:49,GRU,,15.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
fa3f8a3b,2025-05-18T03:43:11,GRU,,20.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
265f2462,2025-05-18T05:51:06,GRU,,2.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
473fa91b,2025-05-18T05:51:27,GRU,,4.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
53cd2909,2025-05-18T05:51:49,GRU,,6.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
7103a668,2025-05-18T05:52:11,GRU,,8.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
8f547ca8,2025-05-18T05:52:32,GRU,,10.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
7fcb974f,2025-05-18T05:52:54,GRU,,15.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
b9e77aef,2025-05-18T05:53:16,GRU,,20.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
