run_id,date,arch,group_order,p,seed,lambda_max,lambda_min,num_pos,ky_dim
808a8624,2025-05-18T02:34:43,GRU,,0.05,0,-0.4112748894522941,-1.0705252538666696,0,0.0
26379194,2025-05-18T02:35:06,GRU,,0.1,0,-0.4112748894522941,-1.0705252538666696,0,0.0
3c9b6206,2025-05-18T02:35:28,GRU,,0.2,0,-0.4112748894522941,-1.0705252538666696,0,0.0
76256107,2025-05-18T02:35:51,GRU,,0.4,0,-0.4112748894522941,-1.0705252538666696,0,0.0
cfb3a325,2025-05-18T02:36:14,GRU,,1.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
222cdcbd,2025-05-18T02:36:36,GRU,,2.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
941abb16,2025-05-18T02:36:58,GRU,,3.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
e8e780f6,2025-05-18T02:37:21,GRU,,5.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
14a9429d,2025-05-18T02:37:43,GRU,,10.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
f81b9b5b,2025-05-18T02:38:05,GRU,,20.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
4b7ea200,2025-05-18T02:38:28,GRU,,30.0,0,-0.4112748894522941,-1.0705252538666696,0,0.0
a028cc86,2025-05-18T02:39:51,G-GRU,S3,0.05,0,-0.670929415229903,-0.7271908039907208,0,0.0
4841e8b1,2025-05-18T02:40:57,G-GRU,S4,0.05,0,-0.670929415229903,-0.7271908039907208,0,0.0
9562e640,2025-05-18T02:42:02,G-GRU,S5,0.05,0,-0.670929415229903,-0.7271908039907208,0,0.0
ea8e8889,2025-05-18T02:43:06,G-GRU,S3,0.1,0,-0.5862729811143986,-0.8339323720404035,0,0.0
2a9bdfb8,2025-05-18T02:44:11,G-GRU,S4,0.1,0,-0.5862729811143986,-0.8339323720404035,0,0.0
0bc0ebd8,2025-05-18T02:45:15,G-GRU,S5,0.1,0,-0.5862729811143986,-0.8339323720404035,0,0.0
20019a23,2025-05-18T02:46:20,G-GRU,S3,0.2,0,-0.43853996222220165,-1.0827875517451202,0,0.0
cd53f538,2025-05-18T02:47:24,G-GRU,S4,0.2,0,-0.43853996222220165,-1.0827875517451202,0,0.0
9e32ddf8,2025-05-18T02:48:28,G-GRU,S5,0.2,0,-0.43853996222220165,-1.0827875517451202,0,0.0
